,counts.CD8T,counts.CD4T,counts.NK,counts.Bcell,counts.Mono,counts.Neu
GSM1051525_7800246024_R01C01,0.0713254007523274,0.0772916893111642,0.0684181688997649,0.12403587183082901,0.0472934782775311,0.6003768238129829
GSM1051526_7800246024_R02C01,0.0770821097628492,0.13580172759112802,0.0473775033304558,0.0234968092903256,0.0341490875751388,0.6701441493895001
GSM1051527_7800246024_R03C01,0.0163833300598455,0.0124673475090788,0.0722126739963359,0.0047168642078832205,0.0763743957375765,0.807201747194902
GSM1051528_7800246024_R04C01,0.0778277431604465,0.131099841094193,0.0339047538958496,0.0329186372189747,0.0383382519937762,0.676178096935186
GSM1051529_7800246024_R05C01,0.10759640958617699,0.13756518695159,0.0553943163362159,0.0354796622751431,0.0870479663155293,0.563818322923376
GSM1051530_7800246024_R06C01,0.0917988540113598,0.0195188255105254,0.14278203134202,0.0312808820891217,0.0473404532326491,0.683293268372647
GSM1051531_7800246024_R01C02,0.0632268527027081,0.0254287531663282,0.0741076434738762,0.0059978174991448295,0.0684219738921713,0.7575801814379028
GSM1051532_7800246024_R02C02,0.0229003036204305,0.0890395682346628,0.070132356787257,0.0124175545132893,0.0484715168896675,0.748824969499422
GSM1051533_7800246024_R03C02,0.0138828852504682,0.110737651681407,0.19727024409027902,0.0422773372897388,0.00935347692131168,0.6223173206778101
GSM1051534_7800246024_R04C02,0.0622036557399129,0.124133527030607,0.0253907253222206,0.0292502630621219,0.0572375488431383,0.6888037209926661
GSM1051535_7800246024_R05C02,0.0537340075499719,0.0913673235516239,0.0497507595661526,0.0430709772800673,0.0463611366325365,0.705541972988584
GSM1051536_7800246024_R06C02,0.109270024802852,0.178267060878155,0.0735058716187103,0.0685773228600485,0.0695042831084145,0.512430864415687
GSM1051537_7800246085_R01C01,0.0686284596306364,0.10529426663667402,0.0505327554554285,0.0427776558862815,0.00981306612861472,0.7290575363156859
GSM1051538_7800246085_R02C01,-7.796969726620769e-19,0.16192683353707402,0.0922361170703328,0.00853498294180814,0.0478948616081537,0.677912425357485
GSM1051539_7800246085_R03C01,0.12354994947442599,0.0706741401970641,0.11113674442929801,0.0105177575782561,0.0523390315105166,0.631199349258065
GSM1051540_7800246085_R04C01,0.0167474664315502,0.0516150956822766,0.110188992812363,0.0159454158775369,0.0841301294636582,0.711198590631871
GSM1051541_7800246085_R05C01,0.000277646402942863,0.128965189851924,0.16342540463370497,0.000408134555187598,0.0623454450102559,0.644932021507739
GSM1051542_7800246085_R06C01,0.061434756028226,0.0787633806257187,0.0923722473371217,0.045553700375322,0.0518634447563273,0.68070525333167
GSM1051543_7800246085_R01C02,-3.29132800028278e-19,0.141090470095401,0.0553280052630048,0.0633638182756062,0.0955684927318968,0.6352355804026479
GSM1051544_7800246085_R02C02,4.87287877343288e-19,0.151971926048353,0.0581782130887169,0.0415959112916973,0.0727882048939348,0.6638118835896171
GSM1051545_7800246085_R03C02,0.00274677213884757,0.10017896702927699,0.103987700662935,0.0201083707608028,0.0934850199876281,0.674175241307486
GSM1051546_7800246085_R04C02,0.0040929499437176295,0.0767424309781121,0.038949918294126994,0.00876655310572612,0.11860203726524,0.750644763978692
GSM1051547_7800246085_R05C02,0.0360697355673107,0.09854719528552301,0.0429111563548281,0.0525719651882086,0.0411677420721646,0.7243543595707281
GSM1051548_7800246085_R06C02,0.0237697092112587,0.072452818095011,0.0293600181077026,0.0541366574747632,0.111796176150635,0.710782266477057
GSM1051549_7800246087_R01C01,0.12855984913816598,0.122437346730656,0.10941941158582302,0.040773678102680004,0.0739329740491429,0.523861354012515
GSM1051550_7800246087_R02C01,0.0532376922844578,0.20580019907633,0.10050237193015499,0.0571181581567945,0.040014293054028,0.5526976121912262
